theater;city;state;years1;years2;years3;years4;years5;years6
Actor's Theatre;Plainfield;NJ;1950s;;;;;
Actors' Theatre;Nantasket;MA;1940s;;;;;
Actors' Workshop Guild;San Francisco;CA;1960s;;;;;
Adelphi College Summer Theatre;Garden City;NY;1940s;;;;;
Adirondack Theatre Festival;Glen Falls;NY;1994-;;;;;
Albany Stock Company;Albany;NY;1940s;;;;;
Alden Tehatre;Jamaica;NY;1930s;;;;;
Allegheny Highlands Regional Theatre;Ebensburg;PA;1974-;;;;;
Allenberry Playhouse;Boiling Springs;PA;1948-;;;;;
Ambassador Music Hall;Fallsburg;NY;1930s;;;;;
American Players Theatre;Spring Green;WI;1979-;;;;;
Andy's Summer Playhouse;Wilton;NH;1970-;;;;;
Ann Arbor Drama Festival;Ann Arbor;MI;1930s;;;;;
Antioch Area Theatre;Yellow Springs & Toledo;OH;1950s;;;;;
Arena Summer Theatre;Williamsport;PA;1964-;;;;;
Arena Theatre;Orleans;MA;1950s;;;;;
Arrow Rock Lyceum Theatre;Arrow Rock;MO;1961-;;;;;
Artists' Theatre;Arden;DE;1950s;;;;;
Artpark;Lewiston;NY;1974-;;;;;
Arundel Barn Playhouse;Arundel;ME;1998-;;;;;
Arundel Opera Theatre;Kennebunk;ME;1950s;;;;;
Astor Theatre;East Hartford;CT;1950s;;;;;
Atlantic Repertory;Atlantic City;NJ;1930s;;;;;
Attic Theatre;Appleton;WI;1950s;;;;;
Avondale Playhouse;Laurel;MD;1950s;;;;;
Avondale Summer Theatre;Indianapolis;IN;1950s;1960s;;;;
Bakersfield Playhouse;Bakersfield;CA;1960s;;;;;
Band Box Theatre;Suffield;CT;1930s;;;;;
Bar Harbor Players;Bar Harbor;ME;1930s;1940s;1950s;;;
Bard Theatre;Annandale-on-Hudson;NY;1930s;;;;;
Barn Playhouse;Bolton Landing;NY;1950s;;;;;
Barn Theatre;Augusta;MI;1946-;;;;;
Barnstages;Nantucket;MA;1950s;;;;;
The Barnstormers;Tamworth;NH;1931-;;;;;
Barrington Stage Company;Great Barrington;MA;1995-;;;;;
Barter Theatre;Abingdon;VA;1933-;;;;;
Bass Rocks Theatre;Gloucester;MA;1930s;1940s;;;;
Batavia Summer Theatre;Batavia;NY;1950s;;;;;
Bay Shore Community Players;Bay Shore;NY;1930s;;;;;
Bayshore Summer Theatre;Bay Shore;NY;1950s;;;;;
Beach Theatre;West Falmouth;MA;1930s;;;;;
Beach Theatre;Ocean City;NJ;1940s;;;;;
Beacon Summer Theatre;Beacon;NY;1950s;;;;;
Bedford Springs Playhouse;Bedford Springs;PA;1960s;;;;;
Beechwood Theatre;Scarborough;NY;1930s;;;;;
Belfry Players;Williams Bay;WI;1950s;;;;;
Belgrade Lakes Playhouse;Belgrade Lakes;ME;1950s;;;;;
Beloit College Summer Theatre;Beloit;WI;1950s;;;;;
Bennington Drama Festival;Bennington;VT;1940s;;;;;
Berks Players;Reading;PA;1950s;;;;;
Berkshire Playhosue;Stockbridge;MA;1928-;;;;;
Bigfork Summer Playhouse;Bigfork;MT;1960-;;;;;
Binghamton Theatre;Binghamton;NY;1930s;;;;;
Birchwood Repertory Company;East Stroudsburg;PA;1960s;;;;;
Birmingham Summerfest, Inc.;Birmingham;AL;1979-;;;;;
Bishop Lee School, Nell Gwyn Theatre;Malden Bridge;NY;1930s;;;;;
Black Hills Playhouse;Rapid City;SD;1946-;;;;;
Bloomsburg Summer Theatre;Bloomsburg;NJ;1950s;;;;;
Blowing Rock Stage Company;Blowing Rock;NC;1986-;;;;;
Bolton Landing Summer Playhouse;Bolton Landing;NY;1940s;;;;;
Boothbay Playhouse;Boothbay Harbor;ME;1937-74;;;;;
Boston College Summer Theatre;Boston;MA;1950s;;;;;
Boston Summer Theatre;Boston;MA;1940s;1950s;1960s;;;
Boulevard Theatre;Jackson Heights;NY;1930s;;;;;
Brae Manner Theatre;Knowlton;QE;1950s;;;;;
Brandeis University Summer Theatre;Waltham;MA;1960s;;;;;
Brandywine Music Circus;Concordville;PA;1958-70;;;;;
Brattleboro Theatre;Brattleboro;VT;1930s;1940s;;;;
Brewster Summer Theatre;Brewster;MA;1950s;;;;;
Brickman Summer Theatre;Pleasant Valley;NY;1930s;;;;;
Bridge Bay Summer Theatre;Redding;CA;1960s;;;;;
Brighton Theatre;Brighton Beach;NY;1930s;;;;;
Bristol Valley Theater;Naples;NY;1986-;;;;;
Broadway Playhouse;Biloxi;MS;1950s;;;;;
Broadway Rose Theatre Company;Tigard;OR;1992-;;;;;
Broadway Theatre;North Haven;CT;1950s;;;;;
Brooke Hills Playhouse;Wellsburg;WV;1971-;;;;;
Brookside Playhouse;Petersburg;PA;1950s;;;;;
Brown County Playhouse;Nashville;IN;1949-;;;;;
Brown Summer Theatre;Providence;RI;1969-;;;;;
Brown Theatre;Louisville;KY;1960s;;;;;
Bryn Mawr College Summer Theatre;Bryn Mawr;PA;1940s;;;;;
Buck Hill Falls Summer Theatre;Buck Hill Falls;PA;1950s;;;;;
Buck Hill Players;Stroudsburg;PA;1930s;;;;;
Bucks County Playhouse;New Hope;PA;1939-;;;;;
Buddy Piper Players;Idaho Springs;CO;1950s;;;;;
Burlington Theatre;Burlington;VT;1930s;;;;;
Cain Park Theatre;Cleveland Heights;OH;1938-;;;;;
Cambridge Summer Theatre;Cambridge;MA;1940s;1950s;;;;
Camden County Music Fair;Haddonfield;NJ;1960s;;;;;
Camden Hall Theatre;Camden;ME;1940s;;;;;
Cameo Playhouse;Miami Beach;FL;1950s;;;;;
Canal-Fulton Summer Theatre;Canal Fulton;OH;1950s;1960s;;;;
Canonsburg Summer Theatre;Canonsburg;PA;1950s;;;;;
Canterbury Summer Theatre;Michigan City;IN;1969-;;;;;
Cape Cod Melody Tent;Hyannis;MA;1950-;;;;;
Cape May Playhouse;Cape May;NJ;1960s;;;;;
Cape May Stage;Cape May;NJ;1988-;;;;;
Cape May Theatre;Cape May;NJ;1940s;1950s;;;;
Cape Playhouse;Dennis;MA;1927-;;;;;
Capitol Theatre Summerstage;Rome;NY;1990-;;;;;
Capri Theatre;Atlantic Beach;NY;1950s;;;;;
Carolina Arena Playhouse;Greensboro;NC;1950s;;;;;
Carolina Circle Theatre;Myrtle Beach;SC;1950s;;;;;
Carousel Music Theatre;Boothbay Harbor;ME;1978-;;;;;
Carousel Theatre;Framingham;MA;1958-;1960s;1970s;;;
Carter Barron Amphitheatre;Washington;DC;1950s;;;;;
Casa Manana Theatre;Fort Worth;TX;1958-;;;;;
Casino-in-the-Park Playhouse;Mt. Holyoke;MA;1960s;;;;;
Castle Heights Summer Theatre;Castle Heights;NH;1950s;;;;;
Catholic University Summer Theatre;Washington;DC;1950s;;;;;
Cazenovia Summer Theatre;Cazenovia;NY;1950s;;;;;
Cecilwood Theatre;Fishkill;NY;1970s;;;;;
Cecilwood Theatre;Fitchburg;MA;1960s;;;;;
Centennial Theater Festival;Simsbury;CT;1990-;;;;;
Centennial Theatre;Yosemite National Park;CA;1950s;;;;;
Central City Opera House;Central City;CO;1932-;;;;;
Central Piedmont Summer Theatre;Charlotte;NC;1973-;;;;;
Central Theatre;Passaic;NJ;1950s;;;;;
Chagrin Falls Summer Theatre;Chagrin Falls;OH;1950s;;;;;
Chain O'Lakes Playhouse;Inlet;NY;1950s;;;;;
Chamberlain Brown Players;Bronxville;NY;1930s;;;;;
Chapel Playhouse;Guilford;CT;1930s;1940s;1950s;1960s;;
Charlotte Theatre Festival;Charlotte;NC;1960s;;;;;
Chase Barn Playhouse;Whitefield;NH;1940s;1950s;;;;
Chautauqua Repertory;Chautauqua;NY;1930s;;;;;
Chelsea Playhouse;Atlantic City;NJ;1940s;;;;;
Chemung County Theatre;Elmira;NY;1950s;;;;;
Cherry County Playhouse;Traverse City;MI;1960s;;;;;
Chevy Chase Summer Theatre;Wheeling;IL;1950s;;;;;
Chicago Tenthouse Theatre;Chicago;IL;1950s;1960s;;;;
Chicopee Playhouse;Galilee;PA;1940s;;;;;
China Dragon Playhouse;Hooksett;NH;1960s;;;;;
Christy Players;Rochester;MN;1950s;;;;;
Cincinnati Summer Playhouse;Cincinnati;OH;1950s;;;;;
Civic Light Opera Company;Little Rock;AR;1950s;;;;;
Cliff Haven Summer Theatre;Cliff Haven;NY;1950s;;;;;
Clinton Playhouse;Clinton;CT;1950s;;;;;
Coconut Grove Playhouse;Miami;FL;1960s;;;;;
Coeur D'Alene Summer Theatre/Carousel Players;Coeur d'Alene;ID;1968-;;;;;
College Light Opera Company;Falmouth;MA;1969-;;;;;
College Showboat Summer Theatre;Kent;OH;1950s;;;;;
College Summer Theatre;Ventura;CA;1950s;;;;;
Collingwood Theatre;Washington;DC;1950s;;;;;
Colonial Manor Playhouse;Irwin;PA;1950s;;;;;
Colonie Summer Theatre;Latham;NY;1960s;;;;;
Columbia Gorge Repertory Theatre;White Salmon;WA;1996-;;;;;
Comedy Theatre;Duluth;MN;1950s;;;;;
Community House;Bedford Hills;NY;1950s;;;;;
Concord Plaza Players;Kiamesha;NY;1930s;;;;;
Concord Theatre Company;Lowell;MA;1940s;;;;;
Connecticut Players;Milford;CT;1930s;;;;;
Connecticut Repertory Theatre;Storrs;CT;1957-;;;;;
Cornell University Playhouse;Ithaca;NY;1950s;;;;;
Corning Summer Theatre;Corning;NY;1950s;1960s;1970s;;;
Cortland Repertory Theatre;Cortland;NY;1972-;;;;;
Country Club Theatre;Prospect Heights;IL;1960s;;;;;
The Country Theatre;Goshen;CT;1940s;;;;;
County Center Summer Theatre;White Plains;NY;1950s;;;;;
County Players;Suffern;NY;1930s;1940s;1950s;;;
Cragsmoor Players;Cragsmoor;NY;1930s;1940s;;;;
Creede Repertory Theatre;Creede;CO;1966-;;;;;
Crossroads Theatre;Bailey's Crossroads;VA;1940s;;;;;
Crystal Lake Lodge;Chestertown;NY;1950s;;;;;
Dallas Summer Musicals;Dallas;TX;1960s;;;;;
Daytona Beach Stock Company;Daytona Beach;FL;1940s;;;;;
Deal Conservatoire;Deal;NJ;1930s;;;;;
Deer Lake Theatre;Pottsville;PA;1930s;1940s;1950s;1960s;1970s;
Deerpath Theatre;Lake Forest;IL;1950s;;;;;
Deertrees Theatre;Harrison;ME;1950s;;;;;
Delacorte Theater;New York;NY;1955-;;;;;
Denison Summer Theatre;Granville;OH;1950s;;;;;
Depot Theatre;Westport;NY;1979-;;;;;
Diamond Circle Melodrama;Durango;CO;1961-;;;;;
Dixfield Summer Theatre;Dixfield;ME;1950s;;;;;
Dog Team Playhouse;Middlebury;VT;1950s;;;;;
Dorchester Club;Dollton;IL;1960s;;;;;
Dorset Theatre Festival;Dorset;VT;1927-;;;;;
Drury Lane Theatre;Evergreen Park;IL;1960s;;;;;
Duke's Oak Theatre;Cooperstown;NY;1940s;1950s;1960s;;;
Dunkirk Summer Playhouse;Dunkirk;NY;1950s;;;;;
Duxbury Playhouse;Duxbury;MA;1940s;;;;;
East Chop Playhouse;Martha's Vineyard;MA;1950s;;;;;
Eastern Slope Playhouse;North Conway;NH;1950s;1960s;;;;
Easton Summer Theatre;Easton;PA;1950s;;;;;
Easton Summer Theatre;Easton;CT;1950s;;;;;
Ebensburg Summer Theatre;Ebensburg;PA;1940s;;;;;
ECU/Loessin Summer Theatre;Greenville;NC;1964-;;;;;
Edgewood Players;Livingston Manor;NY;1930s;;;;;
El Teatro de Santa Fe;Santa Fe;NM;1950s;;;;;
Elitch's Gardens Theatre;Denver;CO;1893-1996;;;;;
Ellensville Playhouse;Ellensville;NY;1930s;;;;;
Elverhoj Theatre;Milton-on-Hudson;NY;1930s;;;;;
Emerson College Summer Theatre;Boston;MA;1950s;;;;;
Encore Theatre;Downey;CA;1950s;;;;;
Essex Players;Essex-on-Lake-Champlain;NY;1930s;;;;;
Ethan Allen Players;Brandon;VT;1950s;;;;;
Fair Players;Dunkirk;NY;1930s;;;;;
Fairfax County Summer Theatre;Fairfax County;VA;1950s;;;;;
Fairhaven Summer Theatre;Fairhaven;MA;1940s;;;;;
Fairman Players;Buckingham and New Hope;PA;1930s;;;;;
Falmouth Playhouse;Falmouth;MA;1949-;1950s;1960s;1970s;1980s;1990s
Famous Artist Playhouses;Fayetteville & East Rochester;NY;1950s;;;;;
Famous Artists Playhouse;Syracuse;NY;1960s;;;;;
Farragut Players;Rye Beach;NY;1930s;;;;;
Fayetteville Country Playhouse;Fayetteville;NY;1960s;;;;;
Festival Theatre;Oak Park;IL;1975-;;;;;
Fifth Ave. Players, Lake Nipmuc Playhouse;Mendon;MA;1930s;;;;;
Fine Arts Center;Colorado Springs;CO;1930s;;;;;
Finger Lakes Drama Festival;Ithaca;NY;1940s;;;;;
Finger Lakes Lyric Circus;Skaneateles;NY;1950s;1960s;;;;
Flagler Players;Fallsburg;NY;1930s;;;;;
Flat Rock Playhouse;Flat Rock;NC;1937-;;;;;
Flint Musical Tent;Clio;MI;1950s;1960s;;;;
Foothill Playhouse;Bound Brook;NJ;1950s;;;;;
Forestburgh Playhouse;Forestburgh;NY;1947-;;;;;
Fort Salem Theatre;Salem;NY;1972-;;;;;
Forty-Niners, Chase Barn;Whitefield;NH;1930s;;;;;
Foundation Theatre;Pemberton;NJ;1975-;;;;;
Framingham Country Playhouse;Framingham;MA;1950s;;;;;
Franklin and Marshall College Summer Theatre;Lancaster;PA;1950s;;;;;
Franklin Trask Theatre;Wareham;MA;1950s;;;;;
Fredericksburg Theater Company;Fredericksburg;VA;1976-;;;;;
Free Little Theatre Players;New York;NY;1930s;;;;;
Frontier Town Theatre;Helena;MT;1950s;;;;;
Fullerton Park Theatre;Chicago;IL;1950s;;;;;
Galveston Island utdoor Musicals;Galveston;TX;1977-;;;;;
Garden Center Theatre;Vineland;Ontario;1960s;;;;;
Garden Court Dinner Theatre;San Francisco;CA;1960s;;;;;
Garrick Players;Kennebunkport;ME;1930s;;;;;
Gateway Playhouse;Bellport;NY;1950s;1960s;1970s;1980s;1990s;2000s
Gateway Summer Theatre;Gatlinburg;TN;1950s;;;;;
Gateway Theatre;Somers Point;NJ;1960s;;;;;
Gateway Theatre;Bellport;NY;1950s;1960s;1970s;1980s;1990s;2000s
Georgia Shore Players;St. Simon's Island;GA;1940s;;;;;
Gilbert & Sullivan Festival Theatre;Monmouth;ME;1950s;;;;;
Gladiators Arena Theatre;Totowa;NJ;1960s;;;;;
Glen Wild Players;Glen Wild;NY;1930s;;;;;
Globe Theatre;Chatham;Ontario;1950s;;;;;
Gloucester School of Theatre;Gloucester;MA;1950s;;;;;
Gotham Players;Highland Grange;NY;1940s;;;;;
Grand Island Playhouse;Buffalo;NY;1950s;;;;;
Grand Theatre;Sullivan;IL;1960s;;;;;
Gravenshurst Summer Theatre;Gravenshurst;Ontario;1950s;;;;;
Great Lakes Drama Festival;Saginaw;MI;1950s;;;;;
Great Neck Playhouse;Great Neck;NY;1950s;;;;;
Greater Seattle Inc.;Seattle;WA;1960s;;;;;
Green Hills Theatre;Reading;PA;1960s;;;;;
Green Mansions;Warrensburg;NY;1930s;1940s;1950s;;;
Green Mountain Playhouse;Middlebury;VT;1940s;1950s;;;;
Greenbush Theatre;Greenbush;NY;1940s;;;;;
Greenfield Summer Theatre;Greenfield;MA;1950s;;;;;
Greenville Summer Theatre;Greenville;PA;1950s;;;;;
Greenwich Guild;Greenwich;CT;1930s;;;;;
Greenwood Gardens Playhouse;Peaks Island;ME;1940s;;;;;
Greenwoods Theatre at Norfolk;Norfolk;CT;1999-;;;;;
Gregory St. Playhouse;Rochester;NY;1930s;;;;;
Gretna Players;Mt. Gretna;PA;1930s;;;;;
Gretna Theatre;Mt. Gretna;PA;1977-;;;;;
Grist Mill Playhouse;Andover;NJ;1950s;1960s;;;;
Griswold Players;New London;CT;1930s;;;;;
Gross Ile Summer Theatre;Gross Ile;MI;1950s;;;;;
Grossinger Playhouse;Ferndale;NY;1930s;;;;;
Groton Playhouse;Groton;CT;1950s;;;;;
Group 20 Players, Theatre-on-the-Green;Wellesley;MA;1950s;;;;;
Pine Brook Club Group;Nichols;CT;1930s;;;;;
Grove Theatre;Nuangola;PA;1930s;;;;;
Guild Hall;Easthampton;NY;1930s;;;;;
Guthsville Playhouse;Guthsville;PA;1950s;1960s;1970s;1980s;;
Hackmatack Playhouse;Berwick;ME;1971-;;;;;
Halloway Bay Playhouse;Sherkston;Ontario;1950s;;;;;
Hamden Summer Theatre;Hamden;CT;1950s;;;;;
Hampton House;Bridgehampton;NY;1940s;;;;;
Hampton Playhouse;Hampton;NH;1950s;1960s;1970s;1980s;1990s;
Hangar Theatre;Ithaca;NY;1967-;;;;;
Harbor Playhouse;Marion;MA;1940s;;;;;
Harbor Theatre;Governor's Island;NY;1930s;;;;;
Harmony Playhouse;Johnson City;NY;1960s;;;;;
Harry Bannister Theatre;Stewartville;NJ;1940s;;;;;
Hartman Theatre;Columbus;OH;1940s;;;;;
Harvey's Lake Theatre;Alderson;PA;1930s;1940s;;;;
Harwick Junior Theatre;Harwick;MA;1950s;;;;;
Hayloft Summer Theatre;Lincoln;NE;1950s;;;;;
Hayloft Summer Theatre;Allentown;PA;1950s;1960s;;;;
Hedgerow Theatre;Moylan-Rose;PA;1923-;;;;;
Heritage Repertory Theatre;Charlottesville;VA;1974-;;;;;
Highfield Playhouse;Falmouth;MA;1950s;;;;;
Highland Park Music Theatre;Highland Park;IL;1950s;;;;;
Highland Summer Theatre;Mankato;MN;1967-;;;;;
Hilda Spong Players;Cape May;NJ;1930s;;;;;
Hilltop Theatre;Lutherville;MD;1940s;1950s;;;;
Hinsdale Summer Theatre;Hinsdale;IL;1950s;;;;;
Holiday Arena Theatre;Swartswood;NJ;1950s;;;;;
Hollywood Players;West End;NJ;1930s;;;;;
Hope Summer Repertory Theatre;Holland;MI;1972-;;;;;
Hopkinton Playhouse;Hopkinton;NH;1950s;;;;;
Horse Cave Theatre;Horse Cave;KY;1977-;;;;;
Horsefeathers & Applesauce Summer Dinner Theatre;Winfield;KS;1973-;;;;;
Hot Summer Nights;Cincinnati;OH;1980-;;;;;
Hotel Bostonian Theatre;Boston;MA;1960s;;;;;
Houghton Lake Playhouse;Houghton Lake;MI;1960s;;;;;
House Club Theatre;Crawford Notch;NH;1950s;;;;;
Hummocks Circle Theatre;Providence;RI;1960s;;;;;
Hunterdon Hills Playhouse;Clinton;NJ;1950s;1960s;1970s;1980s;1990s;
Huron Playhouse;Bowling Green;OH;1949-;;;;;
Hutchinson Summer Theatre;Raymond;NH;1950s;;;;;
Hyde Park Playhouse;Hyde Park;NY;1950s;;;;;
IASTA Theatre, University of Denver;Denver;CO;-1960;;;;;
Idaho Repetory Theatre Company;Moscow;ID;1950-;;;;;
Indiana State University Summer Stage;Terre Haute;IN;1965-;;;;;
Institute of Arts in the Theatre;Lake George;NY;1930s;;;;;
Intermont Outdoor Theatre;Bristol;VA;1950s;;;;;
Iowa Summer Repertory, University of Iowa;Iowa City;IA;1920-;;;;;
Iroquois Park Amphitheatre;Louisville;KY;1950s;;;;;
Island Theatre;Nantucket;MA;1930s;;;;;
Ithaca College Theatre;Ithaca;NY;1930s;;;;;
Ivoryton Playhouse;Ivoryton;CT;1931-;;;;;
Ivy Tower Playhouse;Spring Lake;NJ;1950s;;;;;
Ivy Players;Springfield;MA;1960s;;;;;
Jack and Jill Players;Chicago;IL;1950s;;;;;
Jatoma Players;Alpena;MI;1950s;;;;;
Jekyll Island Musical Theatre Festival;Valdost;GA;1970s;1980s;1990s;2000s;;
Jenny Wiley Theatre;Prestonburg;KY;1964-;;;;;
Jitney Players;Madison;CT;1923-1939;;;;;
John Drew Theatre of Guild Hall;East Hampton;NY;1931-;;;;;
Johns Hopkins Playhouse;Baltimore;MD;1950s;;;;;
Kalamazoo Village Players;Kalamazoo;MI;1950s;;;;;
Kansas City University Summer Theatre;Kansas City;MO;1950s;;;;;
Keeweenaw Playhouse Guild;Calumet ;MI;1960s;;;;;
Kenley Players;Columbus;OH;1958-;1960s;1970s;1980s;;
Kenley Players;Daytona Beach;OH;1958-;1960s;1970s;1980s;;
Kenley Players;Warren;OH;1958-;1960s;1970s;1980s;;
Kenley Players;Barnesville;PA;1940s;1950s;;;;
Keene Summer Theatre;Keene;NH;1950s;;;;;
Kennebunkport Playhouse;Kennebunkport;ME;1950s;;;;;
Keuka College Summer Theatre;Keuka Park;NY;1950s;;;;;
Keystone Repertory Theatre (Summer Theater-by-the-Grove);Indiana;PA;1952-;;;;;
Kingston Repertory Theatre;Kingston;Ontario;1950s;;;;;
Kitty Davis Playhouse;Miami Beach;FL;1950s;;;;;
Knickerbocker Theatre;South Williamsport;PA;1940s;;;;;
La Jolla Playhouse;La Jolla;CA;1947-;;;;;
Laguna Summer Theatre;Laguna Beach;CA;1950s;;;;;
Lake Front Players;Chicago;IL;1950s;;;;;
Lake George Dinner Theatre;Lake George;NY;1968-;;;;;
Lake Luzerne Playhouse;Lake Luzerne;NY;1960s;;;;;
Lake Placid Players;Lake Placid;NY;1930s;;;;;
Lake Shore Players;Westford;MA;1930s;;;;;
Lake Shore Playhouse;Derby;NY;1940s;1950s;;;;
Lake Shore Playhouse;Shapleigh;ME;1950s;;;;;
Lake Summit Playhouse;Tuxedo;NC;1940s;1950s;;;;
Lake Sunapee Playhouse;Georges Mills;NH;1960s;;;;;
Lake Whalom Playhouse;Fitchburg;MA;1897-1973;;;;;
Lake Winnipesaukee Summer Theatre;Lake Winnipesaukee;NH;1950s;;;;;
Lake Zurich Playhouse;Lake Zurich;IL;1950s;;;;;
Lakes Region Playhouse;Gilford;NH;1950s;1960s;;;;
Lakes Region Summer Theatre;Meredith;NH;1991-;;;;;
Lakeside Summer Theatre;Putnam;CT;1950s;;;;;
Lakeside Theatre;Hopatcong;NJ;1940s;;;;;
Lakeside Theatre;Landing;NJ;1950s;;;;;
Lakeville Players;Lakeville;CT;1950s;;;;;
Lakewood Theatre;Skowhegan;ME;1901-;;;;;
Laurel House Players;Haines Falls;NY;1930s;;;;;
Leatherstocking Theatre Company;Cooperstown;NY;1991-;;;;;
Lees-McRae College Summer Theatre;Banner Elk;NC;1984-;;;;;
Legion Star Playhouse;Ephrata;PA;1960s;;;;;
Lenawee Players;Adrian;MI;1950s;;;;;
Lewis & Clark Theatre Company;Yankton;SD;1961-;;;;;
Lincoln Park Summer Theatre;Lincoln Park;NJ;1950s;;;;;
Lincoln University Summer Theatre;Lincoln University;PA;1950s;;;;;
Litchfield Summer Theatre;Litchfield;CT;1950s;;;;;
Little Theatre of Duluth;Duluth;MN;1930s;;;;;
Little Theatre of the Rockies;Greeley;CO;1934-;;;;;
Little Theatre on the Square;Sullivan;IL;1957-;;;;;
Lobero Theatre;Santa Barbara;CA;1960s;;;;;
Long Beach Playhouse;Long Beach;NY;1950s;;;;;
Los Angeles Summer Playhouse;Panorama City;CA;1960s;;;;;
Lost Nation Theatre;Montpelier;VT;1977-;;;;;
Louisville Stock Company;Louisville;KY;1940s;;;;;
Lydia Mendelssohn Theatre;Ann Arbor;MI;1960s;;;;;
Lyndhurst Footlight Theatre;Lyndhurst;NJ;1950s;;;;;
Lynn Summer Theatre;Lynn;MA;1940s;;;;;
MacArthur Theatre;Montpelier;VT;1950s;;;;;
Mac-Haydn Theatre;Chatham;NY;1969-;;;;;
MadAnthony Players, Trail Playhouse;Toledo;OH;1950s;;;;;
Mahopac Theatre;Lake Mahopac;NY;1930s;;;;;
Maine State Music Theatre;Brunswick;ME;1959-;;;;;
Malden Bridge Playhouse;Malden Bridge;NY;1940s;1950s;;;;
Mammoth Lakes Summer Repertory Theatre;Mammoth Lakes;CA;1998-;;;;;
Manhasset Summer Theatre;Manhasset;NY;1950;;;;;
