theater;city;state;years1;years2;years3;years4;years5;years6
Manhattan Players;Fitchburg;MA;1930s;;;;;
Manistee Summer Theatre;Manistee;MI;1950s;;;;;
Manor Vail Playhouse;Lyndonville;VT;1950s;;;;;
Maplewood Summer Theatre;Maplewood;NJ;1940s;1950s;;;;
Marblehead Playhouse;Marblehead;MA;1950s;;;;;
Mariarden Theatre;Peterborough;NH;1923-1926;;;;;
Marion Harbor Playhouse;Marion;MA;1950s;;;;;
Maritime Players;St. John;New Brunswick;1930s;;;;;
Marhsall House Theatre;York Harbor;ME;1950s;;;;;
Martha's Vineyard Summer Theatre;Oak Bluffs;MA;1950s;;;;;
Matoaka Lake Amphitheatre;Williamsburg;VA;1950s;;;;;
Maverick Players;Woodstock;NY;1930s;;;;;
Maxinkuckee Playhouse;Culver;IN;1950s;;;;;
McLean Summer Theatre;Falls Church;VA;1950s;;;;;
McVey Summer Theatre;Richmond;VA;1950s;;;;;
Meadowbrook Playhouse;Cedar Grove;NJ;1950s;;;;;
Melody Circle;Allentown;PA;1950s;1960s;;;;
Melody Circus;Detroit;MI;1950s;;;;;
Melody Fair;North Tonawanda;NY;1960s;;;;;
Melody Fair;Toronto;Ontario;1960s;;;;;
Melody Theatre;Danbury;CT;1950s;;;;;
Melody Top;Hillside;IL;1960s;;;;;
Melody Top;Milwaukee;WI;1960s;;;;;
Melodyland;Berkeley;CA;1960s;;;;;
Melodyland Theatre;Anaheim;CA;1960s;;;;;
Memphis Open Air Theatre;Memphis;TN;1940s;;;;;
Meridian Drama Festival;Washington;DC;1950s;;;;;
Merrimack Playhouse;Concord;NH;1950s;;;;;
Merrimack Summer Theatre;Merrimack;MA;1950s;;;;;
Merry-Go-Round Playhouse;Auburn;NY;1958-;;;;;
Merry-Go-Round Theatre;Sturbridge;MA;1950s;;;;;
Miami University Summer Theatre;Oxford;OH;1966-;;;;;
Michiana Shores Summer Theatre;Michiana;IN;1950s;;;;;
Michigan Open Air Theatre;Detroit;MI;1940s;;;;;
Middlebury College Players Summer Theatre;Hyannis;MA;1940s;;;;;
Milford Playhouse;Milford;CT;1950s;;;;;
Mill Playhouse;Pleasant Mills;NJ;190s;;;;;
Millbrook Playhouse;Mill Hall;PA;1963-;;;;;
Millbrook Summer Theatre;Millbrook;NY;1930s;;;;;
Miller Playhouse;Miller;IN;1950s;;;;;
Millstream Playhouse;Sea Girt;NJ;1940s;;;;;
Millville Playhouse;Millville;PA;1950s;;;;;
Miniature Theatre of Chester;Chester;MA;1990-;;;;;
Mohawk Drama Festival, Union College;Schenectady;NY;1930s;1940s;;;;
Monmouth Community Players;Spring Lake;NJ;1930s;;;;;
Monomoy Theatre;Chatham;MA;'1950s-;;;;;
Monson Summer Theatre;Monson;MA;1950s;;;;;
Montclair Summer Theatre;Montclair;NJ;1950s;;;;;
Monticello Playhouse;Lake Kiamesha;NY;1940s;;;;;
Montowese Playhouse;Branford;CT;1940s;;;;;
Mount Washington Valley Theatre Company;North Conway;NH;1971-;;;;;
Mountain Playhouse;Jennerstown;PA;1939-;;;;;
Mountain Playhouse;Montreal;Quebec;1950s;;;;;
Mountain Theatre;Braddock Heights;MD;1950s;;;;;
Moutnainside Outdoor Theatre;Cherokee;NC;1950s;;;;;
Mt. Tom Playhouse;Holyoke;MA;1940s;;;;;
Mt. Vernon Summer Theatre;Mt. Vernon;NY;1950s;;;;;
Mt. Washington Hotel Summer Theatre;Bretton Woods;NH;1950s;;;;;
Muhlenberg College Summer Music Theatre Festival;Allentown;PA;1981-;;;;;
Municipal Opera;Louisville;KY;1940s;;;;;
Municipal Theatre, Inc.;Atlanta;GA;1950s;;;;;
Murat Theatre;Indianapolis;IN;1950s;;;;;
Music Circus;Lambertville;NJ;1949-70;;;;;
Music Theatre Louisville;Louisville;KY;1981-;;;;;
Music Theatre of Wichita;Wichita;KS;1972-;;;;;
Musical Big Top;Oakridge;NJ;1950s;;;;;
Musicarnival;Cleveland;OH;1954-75;;;;;
Myrtle Beach Playhouse;Myrtle Beach;SC;1950s;;;;;
Nebraska Repertory Theatre;Lincoln;NE;1968-;;;;;
Neighborhood Players;Philadelphia;PA;1930s;;;;;
Neptune Music Circus;Neptune;NJ;1952-70;;;;;
Neptune Theatre Foundation;Halifax;Nova Scotia;1960s;;;;;
New Barn Players;Saugerties;NY;1930s;;;;;
New Bedford Theatre Festival;New Bedford;MA;1990-;;;;;
New Century Theatre;Northampton;MA;1991-;;;;;
New Cockpit in Court Summer Theatre;Baltimore;MD;1972-;;;;;
New Harmony Theatre;Evansville;IN;1987-;;;;;
New Haven Drama Guild;Stoney Creek;CT;1930s;;;;;
New London Barn Players;New London;NH;1933-;;;;;
New Paltz Summer Repertory Theatre;New Paltz;NY;1973-;;;;;
New Playhouse;Syracuse;NY;1960s;;;;;
New Rochelle Playhouse;New Rochelle;NY;1930s;;;;;
Newport Casino Theatre;Newport;RI;1940s;1950s;;;;
Niagara Falls Summer Theatre;Niagara Falls;Ontario;1950s;;;;;
Nisswa Summer Theatre;Nisswa;MN;1950s;;;;;
North Shore Music Theatre;Beverly;MA;1955-;;;;;
Northeastern State University Sizzlin’ Summer Showcase;Tahlequah;OK;1983-;;;;;
Northern Lights Playhouse;Hazelhurst;WI;1976-;;;;;
Northland Playhouse;Southfield;MI;1960s;;;;;
Northwestern University Summer Drama Festival;Evanston;IL;1954-;;;;;
Norwich Summer Theatre;Norwich;CT;1940s;1950s;;;;
Nutmeg Playhouse;Brookfield Center;CT;1950s;;;;;
Oak Park Summer Theatre;Oak Park;IL;1950s;;;;;
Oakdale Musical Theatre;Wallingford;CT;1950s-;;;;;
Ocean County Playhouse;Toms River;NJ;1950s;;;;;
Oceanside Theatre;Magnolia;MA;1950s;;;;;
Ogunquit Playhouse (orig. Manhattan Theatre Colony);Ogunquit;ME;1933-;;;;;
Ohio Northern University;Ada;OH;1991-;;;;;
Ohio Valley Summer Theatre;Athens;OH;1950s;;;;;
Old Fort Players;Charleston;NH;1950s;;;;;
Old Log Theatre;Excelsior;MN;1950s;1960s;;;;
Old Lyric Repertory Company;Logan;UT;1967-;;;;;
Old Orchard Beach Playhouse;Old Orchard Beach;ME;1950s;;;;;
Old Stone Barn Playhouse;Virginia City;MT;1950s;;;;;
Old Town Theatre;Smithtown;NY;1950s;;;;;
Oldcastle Theatre Company;Bennington;VT;1972-;;;;;
Olney Theatre;Olney;MD;1938-2000s;;;;;
Omaha Theatre;Omaha;NE;1930s;;;;;
Open Sky Theatre;Castine;ME;1950s;;;;;
Orange County Playhouse;Westown;NY;1940s;;;;;
Orchard Hill Summer Theatre;Baraboo;WI;1950s;;;;;
Otterbein College Summer Theatre;Westerville;OH;1966-;;;;;
Oval-in-the-Grove;Farmington;CT;1950s;;;;;
P.C.P.A. Theatrefest;Santa Maria;CA;1964-;;;;;
Pacific Repertory Theatre;Carmel;CA;1983-;;;;;
Painters Mill Music Fair;Owings Mills;MD;1960s;;;;;
Palo Alto Community Players;Palo Alto;CA;1930s;;;;;
Pan American Summer Stock Theatre;Edinburg;TX;1972-;;;;;
Papermill Playhouse;Millburn;NJ;1950s-;;;;;
Papermill Theatre/North Country Center for the Arts;Lincoln;NH;1986-;;;;;
Park Playhouse;Albany;NY;1989-;;;;;
Pasadena Community Playhouse;Pasadena;CA;1930s;;;;;
Patchwork Players;Roanoke;VA;1940s;;;;;
Paul Bunyan Playhouse;Bemidji;MN;1951-;;;;;
Pavilion Summer Theatre;Alstead;NH;1950s;;;;;
Pelican Players;Panama City Beach;FL;1950s;;;;;
Pendragon Theatre;Saranac Lake;NY;1980-;;;;;
Penguin Theatre;Centerport;NY;1950s;;;;;
Peninsula Players;Fish Creek;WI;1935-;;;;;
Penn Playhouse;Meadville;PA;1950s;;;;;
Pennsylvania Centre Stage;University Park;PA;1957-;;;;;
Periwinkle Players;Pelham;NY;1930s;;;;;
Peterborough Players;Peterborough;NH;1933-;;;;;
Peterborough Summer Theatre;Peterborough;Ontario;1950s;;;;;
Petoskey Playhouse;Petoskey;MI;1950s;;;;;
Phillipsburg Theatre;Phillipsburg;NJ;1930s;;;;;
Pine Beach Playhouse;Brainerd;MN;1950s;;;;;
Pine Bush Theatre;Pine Bush;NY;1950s;;;;;
Pioneer Playhouse;Danville;KY;1950-;;;;;
Pioneer Playhouse;Cumberland Falls;KY;1950s;;;;;
Pioneer Playhouse;Ft. Knox;KY;1950s;;;;;
Pioneer Playhouse;Gilbertsville;KY;1950s;;;;;
Pitchfork Playhouse;Sharon;CT;1940s;;;;;
Pittsburgh Civic Light Opera;Pittsburgh;PA;1940s-;;;;;
Players;Marshfield Hill;MA;1930s;;;;;
The Playhouse;Eagles Mere;PA;1940s;;;;;
Playhouse-in-the-Park;Cincinnati;OH;1960s;;;;;
Playhouse-in-the-Park;Philadelphia;PA;1960s;;;;;
Playhouse-on-the-Green;Worthington;OH;1960s;;;;;
Plays-in-the-Park;New Brunswick;NJ;1963-;;;;;
Poche Theatre;New Orleans;LA;1950s;;;;;
Pocono Playhouse;Mountain Home;PA;1955-;;;;;
Point Pleasant Play Shop;Point Pleasant;NJ;1930s;;;;;
Police Gazette Players;New York;NY;1930s;;;;;
Pompton Lakes Summer Theatre;Pompton Lakes;NJ;1940s;;;;;
Port Players;Oconomowoc;WI;1950s;;;;;
Porthouse Theatre;Kent;OH;1968-;;;;;
Post Playhouse;Crawford;NE;1966-;;;;;
Post Road Players;Madison;CT;1930s;;;;;
Potash Bowl Theatre;Swanzey Center;NH;1950s;;;;;
Powerhouse Theatre at Vassar;Poughkeepsie;NY;1985-;;;;;
Princess Theatre;Niagara Falls;Ontario;1950s;;;;;
Princeton Summer Theatre;Princeton;NJ;1950s;;;;;
Priscilla Beach Theatre;Plymouth;MA;1940s;;;;;
Prospect Theatre Company;Rome;GA;1998-;;;;;
Provincetown Playhouse;Provincetown;MA;1950s;1980s;;;;
Publick Theatre;Brighton;MA;1971-;;;;;
Pullman Summer Palace;Pullman;WA;1977-;;;;;
Putnam County Playhouse;Mahopac;NY;1950s;;;;;
Putney Summer Theatre;Putney;VT;1950s;;;;;
Quarterdeck Theatre;Atlantic City;NJ;1950s;;;;;
Queens College Summer Theatre;Flushing;NY;1970-;;;;;
Rabbit Run Theatre;Madison;OH;1950s;;;;;
Rainbow Stage Theatre;Winnipeg;Manitoba;1960s;;;;;
Ramona Park Theatre;Grand Rapids;MI;1940s;;;;;
Randall’s Island Summer Theatre;New York;NY;1930s;;;;;
Red Bank Playhouse;Red Bank;NJ;1940s;;;;;
Red Barn Players;Locust Valley;NY;1930s;;;;;
Red Barn Playhouse;Saugatuck;MI;1948-;;;;;
Red Barn Summer Theatre;Frankfort;IN;1968-;;;;;
Red Barn Theatre;Jackson’s Point;Ontario;1960s;;;;;
Red Barn Theatre;Northport;NY;1960s;;;;;
Red Barn Theatre;Westboro;MA;1950s;;;;;
Reginald Goode Players;Clinton Hollow;NY;1930s-50s;;;;;
Repertory Playhouse;Keene;NH;1930s;;;;;
Rice Playhouse;Oak Bluffs;MA;1930s-50s;;;;;
Richmond Summer Theatre;Richmond;IL;1950s;;;;;
Ricks College Summer Play Mill;Rexburg;ID;1950s;;;;;
Ridgefield Summer Theatre;Ridgefield;CT;1940s;;;;;
Ridgeway Playhouse;White Plains;NY;1930s;1940s;;;;
Riverhead Summer Theatre;Riverhead;NY;1950s;;;;;
Riverside Theatre;Bridgton;ME;1950s;;;;;
Roadside Playhouse;Washington;DC;1930s;;;;;
Robin Hood Playhouse;Arden;DE;1930s;;;;;
Rockland County Playhouse;Blauvelt;NY;1950s;;;;;
Rockport Players;Rockport;MA;1960s;;;;;
Rockridge Theatre;Carmel;NY;1930s;;;;;
Roosevelt Players;Miami Beach;FL;1950s;;;;;
Round Barn Theatre at Amish Acres;Nappanee;IN;1986-;;;;;
Sacandaga Summer Theatre;Sacandaga Park;NY;1950s;;;;;
Sacramento Music Circus;Sacramento;CA;1951-;;;;;
Saddleback Civic Light Opera;Mission Viejo;CA;1978-;;;;;
Sail Loft Theatre;Germantown;NY;1950s;;;;;
Saint Vincent Theatre;Latrobe;PA;1969-;;;;;
Salt Creek Summer Theatre;Henadale;IL;1950s;;;;;
San Diego Circle Arts Theatre;San Diego;CA;1960s;;;;;
Sandwich Summer Theatre;Sandwich;MA;1940s;;;;;
Saranac Lake Summer Theatre;Saranac Lake;NY;1950s;;;;;
Savoy Theatre;Asbury Park;NJ;1950s;;;;;
Saxtons River Playhouse;Saxtons River;VT;1988-;;;;;
Sayville Playhouse;Sayville;NY;1940s;;;;;
Schroon Manor Players;Schroon Lake;NY;1930s;;;;;
Sea Cliff Playhouse;Sea Cliff;NY;1950s;;;;;
Seaside Music Theater;Daytona Beach;FL;1976-;;;;;
Shadow Lawn Stage;West Long Branch;NJ;1979-;;;;;
Shadowland;Ellenville;NY;1985-;;;;;
Shady Grove Music Fair;Gaithersburg;MD;1962-77;;;;;
Shady Lane Playhouse;Marengo;IL;1960s;;;;;
Shariwood Lodge;Ware;MA;1940s;;;;;
Sharon Playhouse;Sharon;CT;1950s-;;;;;
Shawnee Playhouse;Shawnee-on-Delaware;PA;1978-;;;;;
Shawnee Theatre of Greene County;Bloomfield;IN;1960-;;;;;
Shirtsleeve Theatre;Lindenhurst;NY;1950s;;;;;
Show Shop;Canton;CT;1940s;;;;;
Showcase Theatre;Evanston;IL;1950s;;;;;
Silvermine Guild Summer Theatre;Norwalk;CT;1950s;;;;;
Skaneateles Theatre;Skaneateles;NY;1940s;;;;;
Skytop Summer Theatre;Flower Hill;NY;1950s;;;;;
Sombrero Playhouse;Phoenix;AZ;1950s;1960s;;;;
Somers Playhouse;Somers;CT;1950s;;;;;
Somerset Players;Niantic;CT;1930s;;;;;
Somerset Playhouse;Somerset;MA;1950s;;;;;
South Park Theatre;Bethel Park ;PA;1995-;;;;;
South Shore Music Circus;Cohasset;MA;1951-;;;;;
South Shore Players;Cohasset;MA;1930s;1940s;;;;
Southampton Players;Southampton;NY;1930s;;;;;
Southbury Playhouse;Southbury;CT;1950s;1960s;;;;
Spa Theatre;Saratoga Springs;NY;1950s;;;;;
Spofford Playhouse;Spofford;NH;1950s;;;;;
Spring House Theatre;Poland Spring;ME;1950s;;;;;
Spring Valley Playhouse;Spring Valley;NY;1950s;;;;;
St. Louis Municipal Theatre, MUNY;St. Louis;MO;1919-;;;;;
St. Michael’s Playhouse;Colchester;VT;1947-;;;;;
Stage Door Summer Stock;San Gabriel;CA;1950s;;;;;
The Stage—Atlanta Women’s Club Auditorium;Atlanta;GA;1940s;;;;;
Stagelight Theatre;Buffalo Grove;IL;1960s;;;;;
Stages St. Louis;St. Louis;MO;1987-;;;;;
Stamfod Summer Theatre;Stamford;CT;1950s;;;;;
Standing Stone Playhouse;Petersburg;PA;1950s;;;;;
Stanley Woolf Players;Liberty;NY;1950s;;;;;
Starlight Musical Theatre;San Diego;CA;1946-;;;;;
Starlight Musicals, Hilton University Brown Theatre;Indianapolis;IN;1960s;;;;;
Starlight Theatre;Pawling;NY;1930s-60s;;;;;
Starlight Theatre;Kansas City;MO;1950-;;;;;
Starmakers—Music Hall Theatre;Clinton;NJ;1950s;;;;;
State College Community Theatre;State College;PA;1955-;;;;;
Steamboat Springs Summer Theatre;Steamboat Springs;CO;1950s;;;;;
Steel Pier Theatre;Long Branch;NJ;1930s;;;;;
Sterling Forest Gardens;Tuxedo;NY;'1960-1970;;;;;
Stone & Hoff Theatre;Lake Echo;NY;1930s;;;;;
Stony Creek Theatre;Stony Creek;CT;1940s;;;;;
Storrowton Music Fair;West Springfield;MA;1960s;;;;;
Straight Wharf Theatre;Nantucket;MA;1950s;1960s;;;;
Strand Theatre;Wilmington;DE;1950s;;;;;
Stratton Theatre;Middleton;NY;1940s;;;;;
Straw Hat Players;Moorhead;MN;1963-;;;;;
Straw Hat Players;Fort Carling;Ontario;1960s;;;;;
Struthers Library Theatre;Warren;PA;1985-;;;;;
Studio Theatre Players;Green’s Lake;NY;1930s;;;;;
Summer Music Theatre;Macomb;IL;1972-;;;;;
Summer Players, Inc.;Charleston;WV;1950s;;;;;
Summer Repertory Theatre;Santa Rosa;CA;1972-;;;;;
Summer Theatre at Mt. Holyoke College;South Hadley;MA;1970-;;;;;
Summeraround Theatre—U.W.-Whitewater Theatre/Dance Dept.;Whitewater;WI;1990s-;;;;;
Summerfest at the University of Illinois;Urbana;IL;1991-;;;;;
Summerhouse Theatre;Albuquerque;NM;1950s;;;;;
Summerhouse Theatre;Santa Fe;NM;1950s;;;;;
Surf Playhouse;Atlantic City;NJ;1950s;;;;;
Surflight Summer Theatre;Beach Haven;NJ;1950-;;;;;
Surry Playhouse;Surry;ME;1930s-1950s;;;;;
Taconic Playhouse;Copake;NY;1950s;;;;;
Tahoe Playhouse;Bijou;CA;1950s;;;;;
Tanglewood Theatre;Falmouth;MA;1940s;;;;;
Tappen Zee Playhouse;Nyack;NY;1960s;;;;;
Temple-Gates Theatre;Flushing;NY;1930s;;;;;
Tent Theatre;Montreal;Quebec;1950s;;;;;
Theater at Lime Kiln;Lexington;VA;1983-;;;;;
Theater Barn;New Lebanon;NY;1984-;;;;;
Theatre Go Round;Virginia Beach;VA;1950s;;;;;
Theatre Guild, Plaza Theatre;Reading;PA;1940s;;;;;
Theatre in the Dale;New Milford;CT;1940s;;;;;
Theatre in the Park;Petersburg;IL;1996-;;;;;
Theatre in the Sky;Waynesville;NC;1940s;;;;;
Theatre in the Woods, Woodland Players;Boothbay Harbor;ME;1920s;;;;;
Theatre L’Homme Dieu;Alexandria;MN;1960-;;;;;
Theatre of Four Seasons;Roslyn;NY;1930s;;;;;
Theatre on the Hill;Westminster;MD;1982-;;;;;
Theatre Showcase;Orange;NJ;1950s;;;;;
Theatre West Virginia;Beckley;WV;1955-;;;;;
Theatre-by-the-Sea;Matunuck;RI;1933-;;;;;
Theatre-by-the-Sea;Woods Hole;MA;1950s;;;;;
Theatrefest;Upper Montclair;NJ;1986-;;;;;
Theatre-in-the-Round;Worcester;MA;1950s;;;;;
Theatre-in-the-Round;Salisbury;NH;1950s;;;;;
Theatre-in-the-Woods;Norwalk;CT;1930s;;;;;
Theatre-under-the-Stars;Atlanta;GA;1960s;;;;;
Theatre-under-the-Stars;Vancouver;British Colombia;1960s;;;;;
Thousand Islands Playhouse;Alexandria Bay;NY;1950s;;;;;
Tibbits Summer Theatre;Coldwater;MI;1963-;;;;;
Tilton Stock Company;Sandwich;IL;1950s;;;;;
Timber Lake Playhouse;Mt. Carroll;IL;1961-;;;;;
Timbers Dinner Theatre;Mt. Gretna;PA;1975-;;;;;
Tinkers Pond Theatre;Woodbury;NY;1960s;;;;;
Tivoli Summer Theatre;Oak Bluffs;MA;1950s;;;;;
Totem Pole Playhouse;Fayettevile;PA;1951-;;;;;
Tower Ranch Tenthouse Theatre;Rhinelander;WI;1950s;;;;;
Towers Summer Theatre;Cedar Grove;NJ;1950s;;;;;
Town and Country Musicals;East Rochester;NY;1960s;;;;;
Town Hall Playhouse;Westboro;MA;1940s;;;;;
Town ‘n Country Playhouse;Bismarck;ND;1950s;;;;;
TriArts at the Sharon Playhouse;Sharon;CT;1989-;;;;;
Triple Cities Playhouse;Binghamton;NY;1950s;;;;;
Tuacahn Amphitheater & Center for the Arts;Ivins;UT;1995-;;;;;
Tufts University Summer Theatre;Medford;MA;1940s-;;;;;
Unionville Summer Theatre;Unionville;CT;1950s;;;;;
University of Findlay Summer Stock;Findlay;OH;1977-;;;;;
University of Michigan Theatre;Ann Arbor;MI;1940s;;;;;
University of Minnesota Theatre;Minneapolis;MN;1950s;;;;;
University of Missouri Summer Repertory Theatre;Columbia;MO;1969-;;;;;
University of New Mexico Summer Theatre;Albuquerque;NM;1950s;;;;;
University of Texas Summer Theatre;Austin;TX;1950s;;;;;
University of Virginia Summer Theatre;Charlottesville;VA;1950s;;;;;
University of Washington Summer Theatres;Seattle;WA;1950s;;;;;
University of Wyoming Summer Theatre;Laramie;WY;1952-;;;;;
University Players Guild (UPG);Falmouth;MA;1928-32;;;;;
University Playhouse;Mashpee;MA;1940s;;;;;
University Theatre: Summer Show Biz;Edwardsville;IL;1975-;;;;;
University Theatre;Lenox;MA;1940s;;;;;
University Theatre—UW-Madison;Madison;WI;1977-;;;;;
Upper Darby Summer Stage;Drexel Hill;PA;1976-;;;;;
Urban Playhouse;Yonkers;NY;1930s;;;;;
Utah Musical Theatre;Ogden;UT;1980-;;;;;
Vagabond Players;Tuxedo;NY;1950s;;;;;
Valley Forge Music Fair;Devon;PA;1954-;;;;;
Valley Players;Holyoke;MA;1940s;1950s;;;;
Van Wyck Players;Fishkill;NY;1940s;;;;;
Vanguard Players, Masonic Temple;Atlantic City;NJ;1930s;;;;;
Vanguard Playhouse;Detroit;MI;1960s;;;;;
Vineyard Playhouse;Vineyard Haven;MA;1982-;;;;;
W.W.U. Summer Stock (Western Washington University);Bellingham;WA;1971-;;;;;
Wagon Wheel Playhouse;Sewickley;PA;1950s;;;;;
Wagon Wheel Theatre;Warsaw;IN;1956-;;;;;
Wagon Wheel Theatre;Rockton;IL;1950s;;;;;
Wareham Music Circus;Wareham;MA;1950s;;;;;
Warren Players;Spring Lake;NJ;1930s;;;;;
Warwick Musical Theatre;Warwick;RI;1955-99;;;;;
Washington Square Players;Cooperstown;NY;1930s;;;;;
Watergate Amphitheatre;Washington;DC;1950s;;;;;
Waterside Playhouse;Manteo;NC;1950s;;;;;
Wawasee Playhouse;Syracuse;IN;1950s;;;;;
Wayside Theatre;Middletown;VA;1960s;;;;;
Weathervane Playhouse;Newark;OH;1968-;;;;;
Weathervane Theatre;Whitefield;NH;1965-;;;;;
Wellesley Summer Theatre;Wellesley;MA;1940s;;;;;
Wellfleet Harbor Actors Theater;Wellfleet;MA;1985-;;;;;
Wellworth Players;Hurleyville;NY;1930s;;;;;
Wentworth-by-the-Sea Summer Theatre;Portsmouth;NH;1950s;;;;;
West Newbury Summer Theatre;West Newbury;MA;1940s;1950s;;;;
West Suburban Playhouse;Glen Ellyn;IL;1950s;;;;;
West Virginia Public Theatre;Morgantown;WV;1985-;;;;;
Westbury Music Fair;Westbury;NY;1956-;;;;;
Westchester Country Playhouse;Mt. Kisco;NY;1930s-50s;;;;;
Westchester Dinner Theatre;Yonkers;NY;1960s;;;;;
Western Michigan’s Cherry County Playhouse;Muskegon;MI;1954-;;;;;
Western Stage;Salinas;CA;1973-;;;;;
Westhampton Playhouse;Westhampton Beach;NY;1950s;;;;;
Weston Playhouse;Weston;VT;1937-;;;;;
Westport Country Playhouse;Westport;CT;1931-;;;;;
Wharf Theatre;Provincetown;MA;1920s-30s;;;;;
White Barn Playhouse;Westport;CT;1950s-;;;;;
White Barn Theatre;Irwin;PA;1950s;1960s;;;;
Wildwood Players, Wildwood Amusement Park;Cleveland;OH;1930s;;;;;
Will Geer Theatricum Botanicum;Topanga;CA;1979-;;;;;
William & Mary College Summer Theatre;Williamsburg;VA;1950s;;;;;
Williamstown Playhouse;Williamstown;MA;1930s;;;;;
Williamstown Theatre Festival;Williamstown;MA;1955-;;;;;
Will-O-Way Playhouse;Bloomfield Hills;MI;1950s;;;;;
Windermere Summer Theatre;Seal Harbor;ME;1950s;;;;;
Windham Playhouse;Windham;NH;1950s-60s;;;;;
Wingspread Theatre;Colon;MI;1950s;;;;;
Woodstock Playhouse;Woodstock;NY;1940s-60s;;;;;
Woodstock Theatre;Woodstock;IL;1930s;;;;;
Yardley Summer Playhouse;Yardley;PA;1940s;1950s;;;;
Young Playhouse;Centerville;MA;1930s;;;;;
Young’s Gap Players;Parksville;NY;1930s;;;;;
