theater|city|state|1898|1899|1900|1901|1902|1903|1904|1905|1906|1907|1908|1909|1910
Hollis Street Theatre|BOSTON|MA|Isaac B. Rich|Rich & Harris|Rich & Harris|Rich & Harris|Rich & Harris|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich
Museum|BOSTON|MA|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris||||||||
Providence Opera House|PROVIDENCE|RI|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|||||
Knickerbocker Theatre|NEW YORK|NY|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.
Garrick Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|W. R. Reynolds|W. R. Reynolds|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman
Garden Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|||||||
Empire Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman
Columbia Theatre|BROOKLYN|NY|Al. Hayman and Daniel Frohman|Al. Hayman and Daniel Frohman|Al. Hayman and Daniel Frohman||||||||||
Montauk Theatre|BROOKLYN|NY|Col. William E. Sinn|Col. William E. Sinn|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht||||||
Grand Opera House|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|U. S. Amusement Co.|U. S. Amusement Co.
Amphion Theatre|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.||||||
Gayety Theatre|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|||||||||
Newark Theatre|NEWARK|NJ|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.
Chestnut Street Opera House|PHILADELPHIA|PA|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman
Chestnut Street Theatre|PHILADELPHIA|PA|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman||||
Broad Street Theatre|PHILADELPHIA|PA|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman
Walnut Street Theatre|PHILADELPHIA|PA|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.
People's Theatre|PHILADELPHIA|PA|F. Nixin Nirdlinger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
Academy of Music|BALTIMORE|MD|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman
Ford's Opera House|BALTIMORE|MD|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford|Charles E. Ford
Lafayette Square Opera House|WASHINGTON|DC|None||||||||||||
National Theatre|WASHINGTON|DC|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley|W. H. Rapley
Academy of Music|WASHINGTON|DC|W. H. Rapley|W. H. Rapley|||||||||||
Columbia Theatre|WASHINGTON|DC|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|Luckett & Dwyer|F. Berger|F. Berger|F. Berger
Grand Opera House|ATLANTA|GA|L. de Give|L. de Give||L. de Give|L. de Give|L. de Give|L. de Give|L. de Give|L. de Give|L. de Give|L. de Give|L. de Give|L. de Give
Tulane Theatre|NEW ORLEANS|LA|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
The Crescent Theatre|NEW ORLEANS|LA|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
Grand Opera House|MEMPHIS|TN|Klaw & Erlanger||||||||||||
Star Theatre|BUFFALO|NY|J. R. Stirling|J. R. Stirling|J. R. Stirling|J. R. Stirling||J. R. Stirling|J. R. Stirling|Whitney & Stair|Whitney & Stair|Whitney & Stair|Whitney & Stair|Whitney & Stair|Whitney & Stair
Vendome Theatre|NASHVILLE|TN|Klaw & Erlanger|Klaw & Erlanger||Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz|Staub & Sheetz
New Masonic Theatre|NASHVILLE|TN|Klaw & Erlanger||||||||||||
Macauley's Theatre|LOUISVILLE|KY|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley|John T. Macauley
Olympic Theatre|ST. LOUIS|MO|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding
Century Theatre|ST. LOUIS|MO|Al. Hayman & Will J. Davis|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding|Charles A. Spalding
Grand Opera House|CINCINNATI|OH|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin|Rainforth & Havlin
Hooley's Theatre|CHICAGO|IL|Harry J. Powers||||||||||||
Columbia Theatre|CHICAGO|IL|Al. Hayman & Will J. Davis|Al. Hayman & Will J. Davis|||||||||||
Davidson Theatre|MILWAUKEE|WI|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown|Sherman Brown
Metropolitan Opera House|ST. PAUL|MN|L. N. Scott|L. N. Scott||L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott
Metropolitan Opera House|MINNEAPOLIS|MN|L. N. Scott|L. N. Scott||L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott|L. N. Scott
Coates Opera House|KANSAS CITY|MO|M. H. Hudson|M. H. Hudson|M. H. Hudson||||||||||
Salt Lake Theatre|SALT LAKE CITY|UT|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper|G. D. Pyper
Baldwin Theatre|SAN FRANCISCO|CA|None||||||||||||
California Theatre|SAN FRANCISCO|CA|None|||Gottlob, Marx & Co.|Ellinghause & Oppenheimer|Ellinghause & Oppenheimer|Ellinghause & Oppenheimer|C. P. Hall|||||
Columbia Theatre|SAN FRANCISCO|CA|Friedlander, Gottlob & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.||||
Broadway Theatre|DENVER|CO|None|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt
Tabor Grand Opera House|DENVER|CO|Bush & McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt|Peter McCourt
Boyd's Theatre|OMAHA|NE|Paxton & Burgess||||||||||||
English's Opera House|INDIANAPOLIS|IN|Lee M. Boda|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham
Valentine Theatre|TOLEDO|OH|Lee M. Boda|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|||George H. Ketcham|George H. Ketcham
Great Southern Theatre|COLUMBUS|OH|Lee M. Boda|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham
Grand Opera House|COLUMBUS|OH|Lee M. Boda|George H. Ketcham|||||||||||
Euclid Avenue Opera House|CLEVELAND|OH|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz|A. F. Hartz
Lyceum Theatre|CLEVELAND|OH|E. D. Stair|E. D. Stair|E. D. Stair|E. D. Stair|E. D. Stair||||||||
Alvin Theatre|PITTSBURG|PA|C. L. Davis|C. L. Davis|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|||||||
Duquesne Theatre|PITTSBURG|PA|Tri-State Amusement Co.|Tri-State Amusement Co.|||||||||||
Madison Square Theatre|NEW YORK|NY||Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman||||||||
Empire Theatre|NEWARK|NJ||Harry M. Hyams|Harry M. Hyams|Harry M. Hyams|Harry M. Hyams|Harry M. Hyams|Harry M. Hyams|Harry M. Hyams|||||
The Crescent Theatre|NASHVILLE|TN||Klaw & Erlanger|||||||||||
Powers' Theatre|CHICAGO|IL||Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers|Harry J. Powers
Boyd's Opera House|OMAHA|NE||W. J. Burgess|Paxton & Burgess|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|O. D. Woodward|O. D. Woodward|O. D. Woodward|O. D. Woodward
Grand Opera House|TORONTO|ONTARIO||C. J. Whitney|C. J. Whitney||||||||||
Princess Theatre|TORONTO|ONTARIO||C. J. Whitney|C. J. Whitney|C. J. Whitney|C. J. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney
Empire Theatre|ALBANY|NY||Ad. Gerber|Ad. Gerber|Sam S. Shubert|L. Jacobs|L. Jacobs|||||||
Worcester Theatre|WORCESTER|MA||Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|||||
Colonial Theatre|BOSTON|MA|||Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman
Illinois Theatre|CHICAGO|IL|||Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis|Will J. Davis
Victoria Theatre|DAYTON|OH|||George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham|George H. Ketcham
Foster's Opera House|DES MOINES|IA|||William Foster|William Foster|William Foster|William Foster|William Foster|William Foster|William Foster|William Foster|William Foster|William Foster|William Foster
Criterion Theatre|NEW YORK|NY|||Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman
The Jefferson|PORTLAND|ME|||Cahn & Grant|Cahn & Grant|Cahn & Grant|Cahn & Grant|Cahn & Grant|Cahn & Grant|Cahn & Grant|Cahn & Grant|Julius Cahn|Julius Cahn|Julius Cahn
Lyceum Theatre|ROCHESTER|NY|||A. E. Wollf|A. E. Wollf|A. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf|M. E. Wollf
Bijou Theatre|BROOKLYN|NY||||Hyde & Behman Co.|Hyde & Behman Co.||||||None||
Denver Theatre|DENVER|CO||||Peter McCourt|||||||||
Grand Opera House|DES MOINES|IA||||William Foster|William Foster|William Foster|William Foster|William Foster|||||
Detroit Opera House|DETROIT|MI||||C. J. Whitney|C. J. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney|Bert. C. Whitney
Baltimore Theatre|KANSAS CITY|MO||||Woodward & Burgess Amusement Co.|||||||||
Lyceum|MEMPHIS|TN||||Frank Gray|Frank Gray|Frank Gray|Frank Gray|Frank Gray|Frank Gray|Frank Gray|Samuel & Co.|Greenwall Theatre Co.|Greenwall Theatre Co.
Savoy Theatre|NEW YORK|NY||||Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Frank McKee|Frank McKee|Frank McKee|Frank McKee
Park Theatre|PHILADELPHIA|PA||||Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman
Garrick Theatre|PHILADELPHIA|PA||||Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.|Frank Howe, Jr.
Folly Theatre|BROOKLYN|NY|||||Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.||
Empire Theatre|DENVER|CO|||||Peter McCourt||||||||
Willis-Wood Theatre|KANSAS CITY|MO|||||Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.
National Theatre|PHILADELPHIA|PA|||||Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman|||||
Imperial Theatre|PROVIDENCE|RI|||||Felix R. Wendelschaefer|Felix R. Wendelschaefer|||||||
Court Theatre|WHEELING|WV|||||E. B. Franzheim|E. B. Franzheim|E. B. Franzheim|E. B. Franzheim|E. B. Franzheim|None|None|M. Reis Co.|M. Reis Co.
Park Theatre|BOSTON|MA||||||Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman
Park Theatre|BROOKLYN|NY||||||Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|||||
Iroquois Theatre|CHICAGO|IL||||||Will J. Davis|||||||
The Prospect|CLEVELAND|OH||||||A. F. Hartz|||||||
Auditorium|KANSAS CITY|MO||||||Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|Woodward & Burgess Amusement Co.|||||
Masonic Temple|LOUISVILLE|KY||||||Weber Bros.|||||||
Herald Square Theatre|NEW YORK|NY||||||Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman||||
Lyceum Theatre|NEW YORK|NY||||||Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman
Daly's Theatre|NEW YORK|NY||||||Daniel Frohman|Daniel Frohman|Daniel Frohman|Daniel Frohman||||
New Amsterdam Theatre|NEW YORK|NY||||||Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
New York Theatre|NEW YORK|NY||||||Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
American Theatre|NEW YORK|NY||||||A. Weiss|A. Weiss|A. Weiss|A. Weiss||||
Harlem Opera House|NEW YORK|NY||||||A. Lichtenstein|A. Lichtenstein|A. Lichtenstein|A. Lichtenstein||||
Grand Opera House|NEW YORK|NY||||||John H. Springer|John H. Springer|John H. Springer|John H. Springer|John H. Springer|John H. Springer|John H. Springer|John H. Springer
Metropolis Theatre|NEW YORK|NY||||||Henry Rosenberg|||||||
Girard Avenue|PHILADELPHIA|PA||||||Miller & Kauffman|||||||
The Nixon|PITTSBURG|PA||||||Nixon & Zimmerman|S. F. Nixon|S. F. Nixon|S. F. Nixon|S. F. Nixon|S. F. Nixon|S. F. Nixon|S. F. Nixon
Crawford's|ST. LOUIS|MO||||||L. M. Crawford|||||||
Powers Opera House|GRAND RAPIDS|MI|||||||Harry Sommers|Harry Sommers|Harry Sommers|Harry Sommers|Harry Sommers|Harry Sommers|Harry Sommers
Parson's Theatre|HARTFORD|CT|||||||H. C. Parsons|H. C. Parsons|H. C. Parsons|H. C. Parsons|H. C. Parsons|H. C. Parsons|H. C. Parsons
Hyperion Theatre|NEW HAVEN|CT|||||||Shubert Bros.|Shubert Bros.|Shubert Bros.||||
Hudson Theatre|NEW YORK|NY|||||||Henry B. Harris|Henry B. Harris|Henry B. Harris|Henry B. Harris|Henry B. Harris|Henry B. Harris|Henry B. Harris
Liberty Theatre|NEW YORK|NY|||||||Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger|Klaw & Erlanger
Camden Theatre|PARKERSBURG|WV|||||||W. E. Kemery|W. E. Kemery|W. E. Kemery|W. E. Kemery|W. E. Kemery|M. Reis Co.|M. Reis Co.
Van Curler Opera House|SCHENECTADY|NY|||||||C. H. Benedict|C. H. Benedict|C. H. Benedict|C. H. Benedict|C. H. Benedict|C. H. Benedict|C. H. Benedict
Court Square Theatre|SPRINGFIELD|MA|||||||D. O. Gilmore|D. O. Gilmore|D. O. Gilmore|D. O. Gilmore|D. O. Gilmore|D. O. Gilmore|D. O. Gilmore
Grand Opera House|SIOUX CITY|IA|||||||Wedveard & Burgess|||O. D. Woodward|O. D. Woodward|M. Jencks|M. Jencks
Taylor Opera House|TRENTON|NJ|||||||A. H. Simonds|M. Moses|M. Moses|M. Moses|M. Moses|M. Moses|M. Moses
New Montauk Theatre|BROOKLYN|NY||||||||W. R. Reynolds|W. R. Reynolds|W. R. Reynolds|W. R. Reynolds|W. R. Reynolds|W. R. Reynolds
New Mason Theatre|LOS ANGELES|CA||||||||H. C. Wyatt|H. C. Wyatt|H. C. Wyatt|H. C. Wyatt|H. C. Wyatt|H. C. Wyatt
Gayety|PITTSBURG|PA||||||||Hyde & Behman Co.|||||
Grand Opera House, Woodward & Burgess Amusement Co. Mgrs|SIOUX CITY|IA||||||||None|None||||
Poli's Theatre|WATERBURY|CT||||||||Jean Jacques|Jean Jacques|Jean Jacques|S. Z. Poli|S. Z. Poli|S. Z. Poli
Nite Opera House|PROVIDENCE|RI|||||||||Felix R. Wendelschaefer||||
New Theatre|SPRINGFIELD|OH|||||||||Lee M. Boda|Lee M. Boda|Lee M. Boda||
Chatterton Opera House|SPRINGFIELD|IL|||||||||G. W. Chatterton|G. W. Chatterton|G. W. Chatterton|G. W. Chatterton|G. W. Chatterton
Grand Opera House|WILMINGTON|DE|||||||||Nixon & Zimmerman|Nixon & Zimmerman|||
Forrest Theatre|PHILADELPHIA|PA||||||||||None|Nixon & Zimmerman|Nixon & Zimmerman|Nixon & Zimmerman
Van Ness Theatre|SAN FRANCISCO|CA||||||||||Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.|Gottlob, Marx & Co.
New Theatre|TOLEDO|OH||||||||||George H. Ketcham|George H. Ketcham||
Tremont Theatre|BOSTON|MA|||||||||||None|Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman
Gaiety Theatre|NEW YORK|NY|||||||||||Klaw, Erlanger, Cohan & Harris|Klaw, Erlanger, Cohan & Harris|Klaw, Erlanger, Cohan & Harris
Poli's Theatre|MERIDEN|CT|||||||||||S. Z. Poli|S. Z. Poli|S. Z. Poli
Boston Theatre|BOSTON|MA||||||||||||Rich, Harris & Charles Frohman|Rich, Harris & Charles Frohman
Auditorium|CHICAGO|IL||||||||||||Auditorium Theatre Co.|Auditorium Theatre Co.
Chicago Opera House|CHICAGO|IL||||||||||||Kahl Castle Amst. Co.|Kahl Castle Amst. Co.
New Columbia|SAN FRANCISCO|CA||||||||||||Gottlob, Marx & Co.|Gottlob, Marx & Co.
New Fairbanks Theatre|SPRINGFIELD|OH||||||||||||Lee M. Boda|Lee M. Boda
